xflr5 v6.61
SD6060-104-88_180
T1_Re0.215_M0.00_N9.0
Alpha =  -4.0,  Re =   215000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 0.8097   -0.028    -0.006    -1.014    -1.003
 0.8225   -0.016     0.006    -1.008    -0.997
 0.8352   -0.004     0.017    -1.002    -0.991
 0.8480    0.009     0.029    -0.996    -0.985
 0.8607    0.023     0.042    -0.989    -0.979
 0.8735    0.037     0.054    -0.981    -0.972
 0.8862    0.052     0.067    -0.974    -0.966
 0.8989    0.067     0.080    -0.966    -0.959
 0.9115    0.083     0.093    -0.958    -0.952
 0.9242    0.099     0.107    -0.949    -0.945
 0.9368    0.118     0.120    -0.939    -0.938
 0.9493    0.137     0.134    -0.929    -0.931
 0.9616    0.158     0.147    -0.917    -0.924
 0.9737    0.181     0.160    -0.905    -0.917
 0.9850    0.209     0.172    -0.890    -0.910
 0.9947    0.241     0.183    -0.871    -0.904
 0.9998    0.256     0.196    -0.863    -0.897


