C-Run_nr	    Time	   Alpha	Delta_Pb	   P_bar	       T	     rpm	     rho	    P001	    P002	    P003	    P004	    P005	    P006	    P007	    P008	    P009	    P010	    P011	    P012	    P013	    P014	    P015	    P016	    P017	    P018	    P019	    P020	    P021	    P022	    P023	    P024	    P025	    P026	    P027	    P028	    P029	    P030	    P031	    P032	    P033	    P034	    P035	    P036	    P037	    P038	    P039	    P040	    P041	    P042	    P043	    P044	    P045	    P046	    P047	    P048	    P049	    P050	    P051	    P052	    P053	    P054	    P055	    P056	    P057	    P058	    P059	    P060	    P061	    P062	    P063	    P064	    P065	    P066	    P067	    P068	    P069	    P070	    P071	    P072	    P073	    P074	    P075	    P076	    P077	    P078	    P079	    P080	    P081	    P082	    P083	    P084	    P085	    P086	    P087	    P088	    P089	    P090	    P091	    P092	    P093	    P094	    P095	    P096	    P097	    P098	    P099	    P100	    P101	    P102	    P103	    P104	    P105	    P106	    P107	    P108	    P109	    P110	    P111	    P112	    P113
       /	   H:M:S	 degrees	      Pa	     hPa	 degr._C	   1/min	  kg/m^3	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa
      26	 15:45:28	   4.500	  129.05	 1014.09	   23.12	  869.80	   1.192	   31.48	 -162.22	 -218.02	 -241.89	 -241.36	 -223.81	 -206.01	 -200.50	 -186.32	 -173.94	 -156.84	 -154.00	 -145.99	 -137.17	 -124.87	 -120.65	 -116.41	 -105.87	  -51.20	  -31.18	  -22.69	   -8.34	    7.38	   18.65	   37.60	   32.81	  269.49	  200.34	  120.42	   77.07	   56.15	   43.75	   34.74	   29.18	   24.56	   21.01	   18.53	   15.77	   14.75	   13.65	   13.30	   13.41	   14.72	   16.92	   19.50	   23.45	   27.28	   31.44	   37.60	  275.38	  276.27	  276.19	  275.24	  274.84	  275.32	  275.15	  275.62	  274.70	  275.51	  275.69	  274.89	  275.64	  274.78	  275.72	  275.90	  274.92	  273.92	  276.10	  277.05	  276.06	  270.15	  252.66	  232.61	  231.34	  248.36	  264.72	  273.47	  275.90	  276.17	  274.28	  276.24	  275.05	  272.53	  273.95	  274.80	  274.86	  274.17	  273.52	  275.07	  273.34	  275.45	  274.24	  273.71	  273.42	  275.32	  274.08	  275.20	   10.84	   15.22	   15.97	   14.69	   14.19	   14.24	   15.01	   13.92	   13.03	   11.91	   11.96	   15.41	    0.81	    0.09	    0.09	   -0.01
      27	 15:45:46	   5.000	  129.38	 1014.10	   23.14	  869.89	   1.192	  -48.79	 -207.49	 -257.25	 -268.91	 -260.36	 -238.52	 -217.45	 -210.10	 -195.34	 -181.08	 -165.01	 -160.34	 -151.50	 -143.91	 -133.03	 -128.51	 -124.40	  -76.90	  -50.07	  -37.34	  -27.59	  -11.27	    4.42	   16.80	   36.67	  -45.66	  266.42	  212.47	  132.46	   86.47	   64.00	   50.30	   40.94	   34.57	   29.31	   25.30	   22.27	   19.14	   17.70	   16.22	   15.52	   15.32	   16.18	   18.13	   20.32	   23.96	   27.55	   31.52	   36.67	  272.38	  273.47	  273.34	  272.17	  271.95	  272.49	  272.01	  272.77	  271.76	  272.70	  272.57	  272.02	  272.74	  271.97	  272.56	  272.96	  272.05	  270.92	  273.33	  274.02	  271.86	  258.32	  237.41	  226.27	  234.83	  255.00	  267.54	  272.20	  273.05	  273.33	  271.44	  273.39	  271.81	  269.20	  270.77	  271.75	  271.62	  270.91	  270.66	  271.88	  270.20	  271.97	  271.14	  270.23	  270.38	  271.99	  270.88	  271.97	   10.24	   14.98	   15.69	   14.41	   13.86	   14.00	   14.62	   13.64	   12.51	   11.37	   11.40	   15.32	    0.33	    0.07	    0.05	   -0.02
      28	 15:46:04	   5.500	  129.45	 1014.09	   23.15	  870.25	   1.192	 -140.61	 -260.19	 -301.00	 -296.88	 -280.49	 -253.77	 -229.72	 -219.68	 -203.03	 -187.89	 -172.25	 -166.96	 -158.20	 -150.71	 -140.65	 -135.57	 -104.85	  -66.53	  -54.21	  -41.74	  -29.60	  -12.52	    4.36	   16.85	   37.14	 -137.32	  262.93	  227.08	  146.53	   98.51	   74.85	   59.37	   49.25	   42.13	   36.15	   31.64	   28.20	   24.49	   22.66	   20.84	   19.74	   19.10	   19.77	   21.31	   23.22	   26.56	   29.84	   33.70	   37.14	  272.46	  273.61	  273.51	  272.39	  272.03	  272.69	  272.22	  273.01	  272.07	  272.89	  272.79	  272.08	  272.93	  272.16	  273.10	  273.19	  272.43	  271.12	  273.51	  274.05	  267.98	  245.91	  227.44	  227.89	  244.26	  264.16	  271.07	  272.91	  273.32	  273.52	  271.54	  273.51	  274.08	  270.74	  273.09	  274.08	  273.91	  273.21	  272.69	  274.25	  272.52	  274.37	  273.43	  272.51	  272.64	  274.40	  273.32	  274.07	   10.71	   15.81	   16.49	   15.13	   14.48	   14.68	   15.08	   13.99	   13.06	   11.83	   11.84	   16.13	    1.31	    0.08	    0.08	   -0.01
      29	 15:46:31	   6.000	  129.13	 1014.09	   23.18	  869.83	   1.192	 -242.62	 -312.99	 -344.90	 -325.03	 -301.15	 -271.04	 -241.66	 -231.80	 -212.61	 -196.82	 -179.82	 -174.37	 -166.34	 -159.48	 -147.06	 -123.77	  -87.90	  -71.53	  -60.02	  -46.07	  -32.74	  -14.26	    2.27	   15.36	   35.39	 -241.42	  253.08	  236.79	  158.20	  108.26	   84.06	   65.71	   55.44	   47.66	   41.21	   36.07	   32.21	   28.20	   25.87	   23.73	   22.24	   21.27	   21.63	   22.79	   24.31	   27.41	   30.32	   33.86	   35.39	  270.08	  271.27	  271.14	  270.08	  269.82	  270.52	  269.90	  270.83	  269.75	  270.62	  270.35	  269.90	  270.67	  270.00	  270.70	  270.89	  270.17	  268.71	  271.29	  271.98	  271.04	  269.43	  265.19	  245.30	  223.67	  223.40	  242.99	  263.23	  270.10	  271.24	  269.33	  271.24	  272.48	  268.33	  271.48	  272.41	  272.29	  271.45	  271.14	  272.41	  270.68	  272.41	  271.77	  270.89	  270.95	  272.70	  271.56	  272.60	   10.24	   15.53	   16.22	   14.86	   14.23	   14.17	   15.35	   13.85	   12.66	   11.40	   11.46	   15.93	    0.38	    0.07	    0.09	    0.01
      30	 15:46:47	   6.500	  130.59	 1014.10	   23.19	  869.73	   1.192	 -355.66	 -369.46	 -394.09	 -360.69	 -326.77	 -289.80	 -259.25	 -245.64	 -224.64	 -207.63	 -190.18	 -185.47	 -176.00	 -166.56	 -136.31	 -109.29	  -92.59	  -77.75	  -64.26	  -49.08	  -34.58	  -15.96	    1.92	   14.98	   35.10	 -353.95	  244.83	  248.84	  172.14	  120.29	   93.73	   75.66	   63.09	   54.62	   47.51	   41.76	   37.44	   32.94	   30.22	   27.77	   25.84	   24.60	   24.57	   25.40	   26.66	   29.42	   32.11	   35.52	   35.10	  273.56	  274.63	  274.48	  273.32	  273.21	  273.74	  273.26	  274.02	  273.14	  273.86	  273.81	  273.30	  273.97	  273.11	  274.01	  274.24	  273.20	  272.18	  274.49	  275.28	  274.44	  271.38	  259.13	  232.54	  218.96	  233.95	  257.93	  271.76	  274.14	  274.55	  272.55	  274.49	  274.92	  271.68	  273.84	  274.86	  274.69	  273.94	  273.41	  274.98	  273.17	  275.04	  274.03	  273.52	  273.35	  275.24	  274.06	  274.78	    9.75	   15.58	   16.26	   14.86	   14.12	   14.02	   15.04	   13.54	   12.26	   11.00	   11.13	   15.97	    0.13	    0.12	    0.08	   -0.06
      31	 15:47:05	   7.000	  130.41	 1014.09	   23.21	  870.11	   1.192	 -478.02	 -425.76	 -443.61	 -392.93	 -348.78	 -307.30	 -274.96	 -258.35	 -236.30	 -218.73	 -201.19	 -193.82	 -177.28	 -154.50	 -131.96	 -115.76	  -99.04	  -82.72	  -67.96	  -51.63	  -36.43	  -16.96	    0.39	   14.16	   33.56	 -477.55	  228.92	  256.41	  184.57	  129.90	  101.89	   83.26	   69.80	   60.58	   52.88	   46.60	   41.73	   36.83	   33.66	   30.88	   28.54	   27.01	   26.61	   27.12	   28.11	   30.48	   32.94	   35.98	   33.56	  274.05	  275.19	  275.20	  274.09	  273.75	  274.24	  273.97	  274.57	  273.64	  274.52	  274.43	  273.64	  274.66	  273.67	  274.48	  274.79	  273.94	  272.82	  274.91	  275.97	  274.65	  266.39	  244.98	  220.78	  220.25	  245.52	  266.80	  273.87	  274.77	  275.06	  273.05	  275.11	  275.27	  272.00	  274.43	  275.51	  275.22	  274.56	  273.84	  275.56	  273.67	  275.59	  274.62	  274.01	  273.78	  275.83	  274.63	  275.53	   10.24	   16.34	   17.01	   15.57	   14.80	   14.79	   15.69	   14.33	   12.88	   11.51	   11.58	   16.87	    0.41	    0.10	    0.05	   -0.05
      32	 15:47:24	   7.500	  129.80	 1014.13	   23.21	  869.84	   1.192	 -599.36	 -479.05	 -486.43	 -419.63	 -366.99	 -321.24	 -286.24	 -268.56	 -245.81	 -227.13	 -201.52	 -188.43	 -168.64	 -154.89	 -136.44	 -119.34	 -102.20	  -85.01	  -69.27	  -52.54	  -37.42	  -17.90	   -0.49	   12.27	   31.25	 -598.44	  205.68	  258.99	  191.93	  137.48	  108.65	   89.01	   75.30	   65.53	   57.26	   50.55	   45.30	   40.13	   36.54	   33.43	   30.80	   28.89	   28.19	   28.38	   29.00	   31.05	   33.14	   35.89	   31.25	  270.90	  272.22	  272.20	  271.05	  270.62	  271.25	  270.74	  271.69	  270.66	  271.48	  271.29	  270.71	  271.54	  270.81	  271.51	  271.87	  271.20	  269.88	  272.22	  272.87	  269.34	  251.78	  226.72	  212.05	  224.36	  252.27	  267.96	  271.37	  271.82	  272.16	  270.29	  272.24	  271.28	  268.78	  270.40	  271.44	  271.04	  270.42	  270.19	  271.32	  269.63	  271.46	  270.64	  270.04	  269.88	  271.50	  270.59	  271.38	    8.62	   15.04	   15.70	   14.26	   13.45	   13.48	   14.21	   12.95	   11.34	    9.95	   10.03	   15.66	   -0.89	    0.08	   -0.05	   -0.23
      33	 15:47:56	   8.000	  130.23	 1014.11	   23.23	  870.19	   1.192	 -732.16	 -536.42	 -538.47	 -452.71	 -389.29	 -339.28	 -302.01	 -283.97	 -256.07	 -224.43	 -199.39	 -187.95	 -173.53	 -160.86	 -141.53	 -123.08	 -104.31	  -86.68	  -70.16	  -53.06	  -37.58	  -18.05	   -0.63	   11.87	   30.43	 -732.28	  184.77	  264.76	  203.96	  147.89	  117.28	   97.27	   82.35	   71.98	   63.12	   55.91	   50.28	   44.56	   40.69	   37.18	   34.29	   31.97	   30.97	   30.82	   31.13	   32.86	   34.71	   37.15	   30.43	  272.91	  274.09	  274.07	  272.92	  272.68	  273.18	  272.79	  273.60	  272.75	  273.37	  273.35	  272.64	  273.52	  272.68	  273.49	  273.69	  272.96	  271.75	  273.92	  274.83	  273.53	  267.54	  248.42	  221.54	  211.00	  229.02	  254.82	  270.34	  273.52	  273.96	  272.12	  274.00	  275.10	  271.55	  274.12	  275.06	  274.90	  274.23	  273.55	  275.06	  273.27	  275.41	  274.20	  273.72	  273.55	  275.48	  274.26	  275.17	    9.46	   16.08	   16.72	   15.19	   14.28	   13.85	   14.84	   13.48	   12.26	   10.73	   10.82	   16.65	    0.19	    0.08	    0.03	    0.00
      34	 15:48:18	   8.500	  131.03	 1014.13	   23.25	  869.72	   1.192	 -873.29	 -598.17	 -591.99	 -486.72	 -415.98	 -361.20	 -322.32	 -290.35	 -251.41	 -225.08	 -204.72	 -196.78	 -180.99	 -166.37	 -145.13	 -125.64	 -106.35	  -88.32	  -71.17	  -53.61	  -37.76	  -18.32	   -0.78	   11.38	   29.49	 -874.24	  157.16	  269.67	  214.30	  158.23	  126.72	  104.63	   89.77	   78.68	   69.31	   61.52	   55.49	   49.32	   45.04	   41.24	   37.97	   35.20	   33.87	   33.41	   33.37	   34.78	   36.40	   38.33	   29.49	  275.98	  276.78	  276.99	  275.79	  275.61	  276.13	  275.86	  276.31	  275.57	  276.26	  276.29	  275.55	  276.42	  275.45	  276.47	  276.65	  275.55	  274.85	  276.68	  277.72	  274.86	  261.49	  237.17	  214.09	  214.20	  239.71	  263.92	  274.61	  276.63	  276.86	  274.90	  276.85	  276.89	  272.40	  275.99	  277.02	  276.73	  276.27	  275.30	  277.21	  275.35	  277.32	  276.09	  275.52	  275.48	  277.64	  276.46	  277.17	    9.76	   16.74	   17.31	   15.77	   14.77	   14.22	   15.03	   13.94	   12.64	   11.04	   11.14	   17.35	    0.52	    0.08	    0.04	    0.04
      35	 15:48:42	   9.000	  129.34	 1014.11	   23.26	  870.36	   1.192	-1004.85	 -643.24	 -640.64	 -514.57	 -438.60	 -383.28	 -313.81	 -283.44	 -254.30	 -233.54	 -210.17	 -201.08	 -184.62	 -167.73	 -146.07	 -126.18	 -106.31	  -88.20	  -70.77	  -53.37	  -37.43	  -18.35	   -1.72	    9.48	   26.45	-1006.77	  125.75	  267.89	  219.78	  164.56	  132.81	  109.67	   94.67	   83.18	   73.40	   65.23	   58.80	   52.29	   47.75	   43.64	   40.08	   37.02	   35.32	   34.55	   34.15	   35.25	   36.44	   38.04	   26.45	  273.22	  274.39	  274.40	  273.12	  272.88	  273.58	  273.07	  273.75	  272.98	  273.58	  273.52	  272.84	  273.78	  272.90	  273.64	  274.03	  273.20	  272.29	  274.16	  274.51	  267.17	  245.22	  220.45	  206.62	  216.65	  245.22	  265.67	  272.72	  274.04	  274.25	  272.28	  274.37	  273.43	  270.38	  272.45	  273.44	  273.36	  272.62	  272.04	  273.42	  271.72	  273.68	  272.67	  271.90	  271.93	  273.83	  272.74	  273.34	    8.48	   15.84	   16.47	   14.92	   13.93	   13.31	   14.00	   13.07	   11.48	    9.94	   10.07	   16.52	   -0.21	    0.15	    0.02	   -0.20
      36	 15:49:00	   9.500	  127.71	 1014.12	   23.28	  869.84	   1.192	-1099.31	 -644.54	 -684.91	 -589.42	 -425.74	 -365.57	 -318.53	 -293.19	 -261.54	 -237.48	 -213.18	 -202.43	 -183.91	 -166.98	 -144.13	 -124.59	 -103.96	  -85.18	  -68.45	  -51.11	  -35.96	  -17.74	   -2.36	    6.83	   21.39	-1102.03	   98.27	  266.97	  224.99	  170.55	  138.54	  115.03	   99.55	   87.76	   77.58	   69.15	   62.20	   55.26	   50.57	   46.04	   42.18	   38.85	   36.76	   35.61	   34.79	   35.44	   36.17	   37.24	   21.39	  271.79	  272.91	  273.03	  271.80	  271.38	  272.23	  271.65	  272.48	  271.58	  272.21	  272.18	  271.45	  272.38	  271.70	  272.45	  272.60	  271.85	  270.83	  272.83	  270.80	  256.40	  230.20	  209.43	  204.61	  221.15	  249.09	  266.35	  271.55	  272.46	  272.93	  270.98	  272.99	  272.77	  269.61	  271.86	  272.76	  272.75	  272.00	  271.54	  272.83	  271.12	  272.98	  272.04	  271.29	  271.30	  273.07	  272.01	  272.97	    8.61	   16.13	   16.70	   15.21	   14.20	   13.37	   14.08	   13.55	   11.68	   10.03	   10.17	   16.87	    0.03	    0.16	   -0.01	   -0.12
      37	 15:49:20	  10.000	  130.75	 1014.18	   23.29	  869.98	   1.192	-1179.12	 -668.22	 -758.28	 -694.07	 -434.28	 -381.02	 -331.20	 -301.82	 -269.48	 -244.77	 -217.56	 -205.24	 -185.41	 -167.16	 -143.88	 -123.10	 -101.96	  -83.06	  -66.78	  -49.46	  -35.05	  -19.07	   -6.19	    1.22	   13.10	-1178.21	   77.01	  268.35	  231.34	  177.47	  144.20	  119.47	  103.76	   91.46	   80.68	   71.79	   64.38	   57.18	   51.92	   46.96	   42.69	   38.95	   36.43	   34.85	   33.59	   33.75	   33.87	   34.50	   13.10	  273.78	  274.98	  274.97	  273.82	  273.48	  274.10	  273.76	  274.37	  273.56	  274.12	  274.23	  273.45	  274.45	  273.51	  274.39	  274.53	  273.45	  272.80	  273.68	  267.28	  245.95	  219.78	  205.45	  207.92	  226.31	  252.47	  267.79	  273.21	  274.50	  274.81	  272.89	  274.80	  276.59	  271.46	  275.91	  276.90	  276.56	  276.15	  275.30	  277.10	  275.19	  277.42	  276.01	  275.49	  275.32	  277.34	  276.13	  277.24	    8.48	   16.18	   16.75	   15.20	   14.00	   12.55	   12.90	   13.15	   11.73	   10.00	   10.01	   16.87	   -0.30	    0.10	    0.01	   -0.02
      38	 15:50:04	  10.100	  131.23	 1014.11	   23.32	  870.24	   1.192	-1196.23	 -670.77	 -771.11	 -679.65	 -438.97	 -383.07	 -331.40	 -302.76	 -269.28	 -243.82	 -216.53	 -204.10	 -185.05	 -167.02	 -142.82	 -121.65	 -101.33	  -82.69	  -66.01	  -49.13	  -34.82	  -19.26	   -6.51	    0.31	   11.77	-1195.99	   71.53	  267.38	  231.83	  178.44	  144.85	  120.22	  104.47	   92.05	   81.21	   72.24	   64.78	   57.48	   52.15	   47.14	   42.84	   39.02	   36.42	   34.76	   33.44	   33.49	   33.49	   34.03	   11.77	  273.38	  274.44	  274.49	  273.12	  272.93	  273.62	  273.17	  273.77	  272.96	  273.63	  273.75	  273.17	  273.91	  273.01	  273.75	  274.04	  273.17	  272.57	  274.28	  274.54	  269.10	  253.00	  231.31	  209.17	  202.32	  217.22	  239.55	  260.84	  270.78	  273.98	  272.46	  274.37	  276.73	  273.03	  275.82	  276.82	  276.53	  276.01	  275.13	  276.87	  275.21	  277.14	  276.04	  275.35	  275.25	  277.36	  276.22	  277.13	    8.54	   16.08	   16.69	   15.17	   14.15	   12.15	   13.55	   13.08	   11.82	   10.09	   10.13	   16.79	   -0.91	    0.07	   -0.01	   -0.05
      39	 15:50:20	  10.200	  128.71	 1014.11	   23.32	  869.94	   1.192	-1208.49	 -682.86	 -780.47	 -657.54	 -440.55	 -382.94	 -331.12	 -300.95	 -268.84	 -243.08	 -215.83	 -202.94	 -182.87	 -165.15	 -141.75	 -120.98	  -99.77	  -80.81	  -64.88	  -48.05	  -33.90	  -18.81	   -6.39	    0.07	   11.21	-1208.78	   66.24	  267.11	  232.39	  180.00	  145.92	  121.83	  105.63	   93.10	   82.24	   73.24	   65.70	   58.10	   53.03	   47.93	   43.56	   39.77	   37.03	   35.32	   33.92	   33.94	   33.83	   34.26	   11.21	  273.09	  274.11	  274.25	  273.06	  272.74	  273.47	  272.90	  273.57	  272.74	  273.47	  273.53	  272.83	  273.57	  272.79	  273.53	  273.79	  272.95	  272.31	  274.04	  274.05	  268.07	  251.20	  229.54	  207.42	  201.69	  215.81	  237.63	  259.46	  270.08	  273.60	  272.16	  274.16	  274.06	  269.57	  273.07	  274.14	  273.92	  273.39	  272.74	  274.22	  272.40	  274.42	  273.32	  272.69	  272.58	  274.48	  273.51	  274.29	    9.96	   17.54	   18.13	   16.65	   15.55	   13.47	   14.71	   14.33	   13.14	   11.54	   11.59	   18.15	    0.28	    0.12	    0.05	   -0.06
      40	 15:50:32	  10.300	  127.51	 1014.14	   23.32	  869.87	   1.192	-1215.18	 -684.17	 -788.54	 -629.16	 -440.86	 -381.53	 -330.28	 -300.43	 -267.27	 -241.47	 -214.18	 -202.13	 -181.55	 -163.55	 -140.35	 -119.80	  -98.88	  -79.96	  -63.90	  -47.13	  -33.95	  -18.89	   -7.43	   -0.91	    9.92	-1216.32	   60.10	  264.40	  231.68	  179.13	  145.44	  121.22	  105.32	   92.83	   81.95	   72.95	   65.46	   57.83	   52.70	   47.61	   43.20	   39.24	   36.55	   34.76	   33.29	   33.20	   33.03	   33.31	    9.92	  270.55	  271.74	  271.66	  270.58	  270.23	  270.92	  270.33	  271.33	  270.52	  271.01	  270.90	  270.18	  271.17	  270.46	  271.17	  271.30	  270.77	  269.72	  271.50	  271.15	  264.37	  247.45	  226.45	  204.87	  198.11	  210.46	  231.30	  252.74	  265.54	  270.67	  269.73	  271.65	  273.40	  268.54	  272.28	  273.38	  273.15	  272.47	  271.96	  273.32	  271.76	  273.59	  272.71	  271.97	  271.86	  273.76	  272.71	  273.50	    9.21	   16.63	   17.20	   15.69	   14.60	   12.37	   13.52	   13.28	   12.42	   10.70	   10.72	   17.29	   -0.38	    0.11	    0.03	    0.07
      41	 15:50:56	  10.400	  130.15	 1014.10	   23.33	  870.19	   1.192	-1241.33	 -700.43	 -810.37	 -590.79	 -447.87	 -386.88	 -333.18	 -302.56	 -269.97	 -243.75	 -215.76	 -202.79	 -183.02	 -164.12	 -140.42	 -119.95	  -98.22	  -79.78	  -63.42	  -46.76	  -33.75	  -19.07	   -7.49	   -1.71	    8.63	-1240.76	   54.69	  265.89	  234.29	  182.08	  147.79	  123.54	  107.23	   94.58	   83.56	   74.43	   66.85	   59.12	   53.86	   48.61	   44.11	   40.11	   37.32	   35.43	   33.85	   33.67	   33.41	   33.44	    8.63	  272.60	  273.69	  273.74	  272.56	  272.06	  272.91	  272.40	  273.17	  272.37	  273.07	  273.01	  272.29	  273.19	  272.42	  273.01	  273.25	  272.52	  271.90	  273.55	  272.95	  265.64	  248.34	  226.76	  205.65	  198.47	  211.14	  232.28	  254.72	  267.71	  272.77	  271.50	  273.64	  273.85	  269.64	  272.97	  273.85	  273.74	  273.19	  272.50	  273.93	  272.26	  274.10	  273.17	  272.41	  272.35	  274.25	  273.14	  274.03	    9.19	   16.68	   17.27	   15.75	   14.66	   12.26	   13.42	   13.24	   12.47	   10.67	   10.73	   17.35	   -0.29	    0.11	    0.04	    0.08
      42	 15:51:11	  10.500	  130.83	 1014.12	   23.34	  869.94	   1.192	-1252.82	 -702.66	 -824.04	 -570.27	 -449.72	 -387.38	 -333.79	 -303.06	 -269.48	 -243.84	 -215.22	 -201.91	 -181.38	 -163.72	 -139.14	 -118.90	  -97.51	  -78.92	  -62.92	  -46.49	  -33.59	  -19.17	   -7.74	   -2.28	    7.20	-1251.70	   48.72	  265.12	  234.43	  182.92	  148.01	  123.78	  107.63	   94.89	   83.82	   74.62	   66.99	   59.24	   53.91	   48.58	   44.03	   40.01	   37.12	   35.16	   33.52	   33.27	   32.89	   32.82	    7.20	  271.68	  272.76	  272.87	  271.67	  271.18	  272.09	  271.38	  272.37	  271.40	  272.13	  272.04	  271.25	  272.41	  271.57	  272.28	  272.46	  271.71	  271.01	  272.62	  271.83	  263.78	  245.73	  224.84	  203.07	  196.16	  208.61	  229.91	  252.95	  266.32	  271.68	  270.61	  272.73	  273.85	  270.70	  272.95	  273.92	  273.70	  272.99	  272.56	  273.84	  272.20	  274.12	  273.25	  272.53	  272.33	  274.27	  273.15	  273.87	    9.06	   16.62	   17.21	   15.72	   14.65	   12.22	   13.47	   13.35	   12.36	   10.60	   10.66	   17.27	   -0.28	    0.11	    0.05	   -0.02
      43	 15:51:24	  10.600	  129.45	 1014.12	   23.35	  870.08	   1.192	-1268.62	 -709.06	 -841.21	 -546.13	 -452.79	 -388.17	 -334.53	 -303.44	 -269.28	 -242.73	 -215.12	 -201.19	 -181.64	 -162.84	 -138.63	 -118.04	  -96.55	  -77.72	  -61.75	  -45.91	  -33.14	  -19.01	   -8.03	   -2.75	    6.59	-1268.04	   43.64	  265.27	  236.08	  184.72	  149.79	  125.23	  109.06	   96.21	   85.02	   75.78	   68.06	   60.45	   54.84	   49.46	   44.87	   40.77	   37.78	   35.74	   34.04	   33.66	   33.22	   33.18	    6.59	  272.24	  273.36	  273.45	  272.23	  271.96	  272.55	  272.05	  272.97	  272.01	  272.70	  272.61	  271.98	  272.96	  272.11	  272.75	  273.01	  272.35	  271.51	  273.21	  271.98	  263.16	  244.75	  223.18	  201.95	  196.12	  209.65	  231.18	  254.30	  267.25	  272.46	  271.34	  273.38	  274.11	  270.85	  273.13	  274.01	  273.88	  273.24	  272.67	  274.08	  272.44	  274.46	  273.32	  272.63	  272.43	  274.46	  273.31	  274.24	    9.42	   17.04	   17.62	   16.11	   15.01	   12.49	   13.67	   13.67	   12.74	   10.98	   11.03	   17.69	   -0.20	    0.13	    0.05	    0.02
      44	 15:51:37	  10.700	  129.19	 1014.13	   23.35	  870.21	   1.192	-1287.91	 -724.19	 -863.57	 -529.00	 -457.91	 -392.04	 -337.80	 -306.55	 -272.27	 -246.56	 -216.58	 -203.36	 -182.63	 -163.71	 -139.14	 -117.70	  -96.44	  -77.81	  -62.22	  -46.31	  -33.85	  -20.24	   -9.71	   -4.80	    4.46	-1287.36	   37.42	  264.90	  236.57	  185.25	  150.15	  126.12	  109.45	   96.47	   85.16	   75.78	   68.01	   60.17	   54.60	   49.12	   44.45	   40.24	   37.17	   35.05	   33.28	   32.84	   32.25	   32.13	    4.46	  272.28	  273.33	  273.50	  272.23	  271.91	  272.60	  272.10	  272.94	  272.05	  272.78	  272.49	  272.04	  272.87	  272.09	  272.84	  273.08	  272.41	  271.63	  273.15	  271.72	  262.18	  243.01	  221.65	  201.01	  195.43	  209.72	  231.64	  254.31	  267.37	  272.59	  271.30	  273.40	  272.97	  269.29	  271.93	  272.95	  272.66	  272.19	  271.60	  272.86	  271.20	  273.22	  272.18	  271.36	  271.41	  273.40	  272.16	  273.09	    9.24	   16.79	   17.39	   15.88	   14.79	   12.19	   13.29	   13.43	   12.54	   10.74	   10.81	   17.45	   -0.36	    0.11	    0.04	    0.01
      45	 15:51:58	  10.800	  129.41	 1014.06	   23.37	  869.58	   1.191	-1311.00	 -741.55	 -887.98	 -521.00	 -464.39	 -397.20	 -340.85	 -309.10	 -275.00	 -249.30	 -218.59	 -203.93	 -183.17	 -163.94	 -139.31	 -118.35	  -96.57	  -77.78	  -61.97	  -46.12	  -33.98	  -20.56	  -10.35	   -5.61	    2.88	-1309.93	   32.16	  266.50	  239.06	  187.91	  152.12	  127.75	  111.06	   97.86	   86.40	   76.91	   68.99	   61.01	   55.37	   49.77	   45.00	   40.70	   37.57	   35.35	   33.47	   32.92	   32.27	   32.00	    2.88	  274.39	  275.34	  275.45	  274.30	  274.00	  274.44	  274.16	  274.86	  274.09	  274.76	  274.82	  273.97	  274.93	  274.00	  274.75	  275.04	  274.25	  273.45	  274.93	  272.98	  262.43	  242.09	  220.29	  201.06	  196.93	  211.61	  233.83	  256.10	  269.07	  274.38	  273.10	  275.30	  272.71	  269.26	  271.70	  272.68	  272.48	  271.81	  271.36	  272.63	  271.00	  272.83	  271.86	  271.21	  271.20	  273.05	  272.05	  272.79	    8.53	   16.16	   16.74	   15.24	   14.14	   11.49	   12.54	   12.81	   11.92	   10.09	   10.15	   16.83	   -0.65	    0.10	    0.04	    0.03
